Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP_growth
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Fragile and conflict affected situations,FCS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Gibraltar,GIB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Equatorial Guinea,GNQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Grenada,GRD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Guam,GUM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Guyana,GUY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
High income,HIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Not classified,INX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
St. Kitts and Nevis,KNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Libya,LBY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
St. Lucia,LCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Least developed countries: UN classification,LDC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Low income,LIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Liechtenstein,LIE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sri Lanka,LKA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Lower middle income,LMC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Low & middle income,LMY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Lesotho,LSO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Late-demographic dividend,LTE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Lithuania,LTU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Luxembourg,LUX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Latvia,LVA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Macao SAR, China",MAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
St. Martin (French part),MAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Monaco,MCO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Moldova,MDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Madagascar,MDG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Maldives,MDV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Middle East & North Africa,MEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Marshall Islands,MHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Middle income,MIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Mali,MLI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Mongolia,MNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Northern Mariana Islands,MNP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Mauritania,MRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Malawi,MWI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
North America,NAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
New Caledonia,NCL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Nicaragua,NIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Norway,NOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Nepal,NPL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Nauru,NRU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
OECD members,OED,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Oman,OMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Other small states,OSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Panama,PAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Palau,PLW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Papua New Guinea,PNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Pre-demographic dividend,PRE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Puerto Rico,PRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Paraguay,PRY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
West Bank and Gaza,PSE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Pacific island small states,PSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Post-demographic dividend,PST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Qatar,QAT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Romania,ROU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
South Asia,SAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Saudi Arabia,SAU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sudan,SDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Senegal,SEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Singapore,SGP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Solomon Islands,SLB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sierra Leone,SLE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
El Salvador,SLV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
San Marino,SMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Somalia,SOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Serbia,SRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sub-Saharan Africa (excluding high income),SSA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
South Sudan,SSD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sub-Saharan Africa,SSF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Small states,SST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sao Tome and Principe,STP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Suriname,SUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Slovak Republic,SVK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Slovenia,SVN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sweden,SWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sint Maarten (Dutch part),SXM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Seychelles,SYC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Syrian Arab Republic,SYR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Turks and Caicos Islands,TCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Togo,TGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Thailand,THA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Tajikistan,TJK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Turkmenistan,TKM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Timor-Leste,TLS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Tonga,TON,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
South Asia (IDA & IBRD),TSA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Trinidad and Tobago,TTO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Tunisia,TUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Turkiye,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Tuvalu,TUV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Tanzania,TZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Ukraine,UKR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Upper middle income,UMC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Uruguay,URY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Uzbekistan,UZB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
St. Vincent and the Grenadines,VCT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Venezuela, RB",VEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Virgin Islands (U.S.),VIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Viet Nam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Vanuatu,VUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Samoa,WSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Yemen, Rep.",YEM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Zambia,ZMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Zimbabwe,ZWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,0.460106039842898
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,1.87345509634132
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,5.42784287621933
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,2.48261834811161
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,5.53797931684517
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,-13.7461350539839
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.97842306319174
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,3.14128045641213
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.04392797754925
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,6.05816082548128
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,10.6670974251373
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.89227721902682
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.67999999890945
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,2.08929593570468
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,8.60000000000014
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,7.69652979830487
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,6.3432837196721
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.95355379797229
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,3.16329168371286
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,8.10867221090605
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,5.24527188445649
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,-27.2700000039227
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,9.93255515611813
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,1.18368081101198
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,-10.8513760836337
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,8.35072672427799
